Ciudad,Días,Descripción,Lugares
hanoi-1,dia1,"Llegué a Hanoi después de infinitas horas de vuelo y una escala heladora en Beijing. La intensidad de Hanoi, combinada con el jet lag, me dejó k.o. por unas horas; poco a poco, por la tarde salí a pasear a buscar un sitio donde no me alcanzara el ruido, las motos y la polución. Paseé por el Old Quarter y entré en 200 tiendas de made in Vietnam. Indecisa, entré en el primer sitio que vi que servían phở y cené rezando por no intoxicarme en mi primera noche. En Vietnam tienes que aprender a comer sin mirar mucho a tu alrededor, y solo confiar en cómo saben las cosas en tu boca. Me fui a la cama temprano y dormí casi del tirón.",Hang Trong Garden
hanoi-1,dia2,"Primer día despertando en Vietnam. Desayuné en el hostel y di un paseo por otras calles que no había visto el día anterior; Hanoi de día es diferente y poco a poco me fui acostumbrando a los cláxones y a absorber o ignorar todos los estímulos que venían a mí sin parar. Tomé mi primer egg coffee en un balcón de un bar con vistas a la catedral. Pasé la mañana en la ciudad Imperial, visité un búnker que se usó durante la guerra, y fui a comer un bún chả, una de mis comidas favoritas de Vietnam. Después reservé cita para un spa capilar de hierbas y me fui a tomar un café mientras esperaba la hora de la cita. En el spa capilar, me hicieron un lavado con un agua con hierbas, me explicaron que las usan para prepararse para el año nuevo lunar. Me gustó mucho, aunque el olor me recordó a cómo huelen las chinches de los árboles cuando las aplastas. Luego caminé de vuelta al hotel buscando en todas las tiendas made in Vietnam la mochila de North Face que quería y un chubasquero que me sirviese. Los encontré y cené en un callejón lleno de taburetes azules unos pinchos de carne de cerdo fermentada y patatas fritas con especias.","St. Joseph Cathedral
Nhà hàng La Place
Imperial Citadel of Thang Long
Tuyết Bún Chả 34
Nhà Spa - 75 Hàng Mã
Lecker Tạm Thương"
hanoi-1,dia3,"Desperté temprano con todo listo para desayunar y coger el minibus camino a la bahía de Ha Long.
Me recogieron la primera en una furgoneta de 8 personas y, después de recoger a los demás en sus hoteles correspondientes, pusimos rumbo hacia allí.",
halong,dia1,"A mediodía embarqué en el crucero, comí y fui a ver mi camarote. Lujo asiático literal. A primera hora de la tarde el barco paró y nos dejaron hacer kayak por las aguas de la bahía; es lo que más me gustó del crucero. Volví al barco, me bañé en la piscina y luego me di un baño en mi bañera con vistas. El resto del día estuve haciendo fotos sin parar y ya de noche, antes de cenar, nos enseñaron cómo hacer rollitos vietnamitas.",
halong,dia2,,"Northern Pier of Cat Ba
Military Hospital Cave"
ninhbinh,dia1,"Madrugón épico para desayunar y coger minibarcos hasta la isla de Cát Bà, la isla de las mujeres. Allí fuimos a visitar la Cueva Hospital, que se llama así porque literalmente la usaban como hospital durante la guerra. Volvimos al crucero y tomamos un brunch; después nos llevaron en los minibarcos a puerto y esperé hasta que llegó mi autobús con destino a Tam Coc. Dormí casi todo el trayecto cómodamente porque iba en el primer asiento y se reclinaba casi por completo.","Thai Vi Temple
Banh Mi Lady Stall"
ninhbinh,dia2,"20:53El segundo día en Tam Coc amaneció lloviendo; después de desayunar un bocadillo de tortilla y un mango (cortesía de Asahí Villa Homestay), robé un plátano y cogí un grab hacia Bái Đính Pagoda.
Al llegar, y antes de comprar la entrada, unas señoras en la puerta me escribieron 3 papeles de rezos, me dieron un paquete de incienso y un mechero, y me mandaron para adentro sin saber muy bien qué hacer. El mechero me lo sacaron de la mochila de vuelta a España en el control de China; los papeles los fui dejando en el altar del templo que cada uno tenía indicado, sin saber muy bien qué estaba pidiendo. Pasé muchas horas recorriendo el recinto y me encantó. Subí a la pagoda de 12 pisos (en ascensor), me enfrenté a un incontable número de escalones y estuve a punto de caerme 4 veces por el suelo mojado. Hice cientos de fotos. Además, no había casi nadie; había momentos en los que estaba sola completamente en medio del bosque; me pareció un sitio precioso.
Hacia la hora de comer, me trasladé a Trang An para hacer la ruta en barca que había comprado junto con la entrada de la pagoda; tuve que darme prisa porque el recorrido dura 3 horas y no te dejan embarcar después de las 15 para que no se haga de noche. Me comí un arroz en el embarcadero y me subí corriendo en la primera barca que me dejaron, compartida con una madre y sus dos hijos mayores. Hicimos una ruta que pasaba por cuevas y paraba en templos en medio del río. Al volver al embarcadero cogí mi primer grab moto y, volando entre los arrozales, llegué a Tam Coc para cenarme un pato a la brasa delicioso.","Chùa Bái Đính 
Trang An Departure Boat Ticket
Hành Cung Vũ Lâm"
ninhbinh,dia3,"Me levanté temprano para aprovechar el último día en Ninh Binh antes de coger esa misma noche un autobús a Huế. Quería subir las 500 escaleras para ver la estatua del dragón que hay en la cima del Hang Múa y lo había dejado para el último día porque no me fiaba de subir con el suelo mojado. Así que desayuné mi bocadillo de tortilla y mi mango de rigor y cogí una grab moto hasta allí. No son 500 escaleras, son unas pocas más, ya te lo digo. Las rodillas, bueno, al bajar te van a doler; y si encima te impresionan un poquito las alturas como a mí, habrá momentos en que te puedes ver tentada a bajar de culo. No pasa nada, las vistas lo merecen. Al bajar me compré un salted coffee allí mismo y paseé tranquilamente por los campos de lotos, que estaban bastante pelados, pero aun así tenían encanto. Después volví andando por los arrozales hasta Tam Coc, almorcé mi segundo bánh mì y seguí paseando por la avenida principal de Tam Coc. Buscaba un mercado local que me habían dicho que estaba por ahí, pero entendí mal las indicaciones y llegué tarde; estaba cerrado. Fui al lago de Tam Coc y cogí el tour en barco desde allí. Compartí barca con una chica polaca muy simpática llamada Paula. En Tam Coc, las barcas son de hierro, no de madera, y las personas reman con los pies, no con las manos. La barca nos dejó en tierra y un trenecito eléctrico nos fue llevando a templos y pagodas, vimos una cueva también. Al volver, me senté en el lago a descansar y tomar un coconut coffee. Paseé hasta el cementerio y volví andando al homestay. Preparando la partida me duché, me di un masaje en un sitio a la vuelta de la esquina y, cansada y relajada, cené y cogí un grab hasta el punto de recogida del bus. ¡Mi primer bus nocturno! Cenando conocí a una pareja de españolas que también cogerían el mismo autobús que yo.","Hang Múa
Thai Vi Temple
Chùa Linh Cốc
Bich Dong Pagoda"
hue,dia1,"Me encantó el bus nocturno, pero no me encantó llegar a Huế a las 6 de la mañana, dos horas antes de lo previsto. Estaba amaneciendo cuando cruzaba en grab el puente por encima del río Perfume camino a la antigua ciudadela. Paseé hasta encontrar un sitio donde desayunar, me comí unas tortitas de plátano deliciosas y me encaminé a entrar a la Ciudadela Imperial. Es un recinto muy grande lleno de edificios con multitud de detalles; cogí la audioguía, aunque si digo la verdad, no me acuerdo de nada. Es complicado familiarizarte con las dinastías y con los siglos de historia de los que no tienes ni idea, de golpe en una visita. Estuve paseando por los jardines hasta la hora de comer, salí de la ciudad amurallada y me dirigí al mercado de Đồng Ba. En Huế es típica una sopa de fideos picante que se llama bún bò Huế; me senté en un puesto del mercado sin pensarlo mucho y la señora que lo regentaba me preguntó: «Noodle soup?» y yo dije «Yes». «Meat?» volvió a preguntar, y yo volví a contestar que sí. Y me puso delante lo que había prometido: unos pinchos de carne y un bún bò Huế. En la sopa había cosas que no sabía identificar. Otras que sí, como la sangre coagulada (es algo típico en muchos lugares de Asia). Empecé a darme cuenta de que no me iba a servir esta vez el no mirar mucho a mi alrededor, cuando una rata pasó al lado de mi pie. Y no quiero que suene como que no sabía a dónde iba, pero me lo pensé mejor. Me comí algunos fideos a pesar de que el caldo picaba que flipas, me comí los pinchos de carne en dos segundos y salí por patas, pensando en si había cometido el error que me llevaría a la temida intoxicación alimenticia. Pues no. No pasó absolutamente nada; un mal rato que me hizo pensar en hacerle caso a mis intuiciones a tiempo. Fin.
Por la noche cené en un sitio precioso con jardín, sin ratas, con velitas. Y di un paseo largo por la plaza frente a la Ciudadela; los niños estaban jugando a la pelota y se notaba que había bajado más al sur. No hacía ni frío ni calor, una noche muy agradable.","Quán Café 51
Hue Imperial City
Dong Ba Market
BÁNH GÁNH 2 - Cơm Niêu & Đặc Sản Huế
Stage of Flag"
hue,dia2,"Me levanté sin expectativas ni planes urgentes, pensando solo en estar tranquila. Desayuné en el mismo sitio que el día anterior, las mismas tortitas de plátano, con un salted coffee estupendo. Escribí un poco en mi cuaderno —ha sido el único momento del viaje en el que lo he hecho— y paseé por las calles tranquilas. Me tomé otro café antes de hacer el check-out de mi homestay, fui a la estación de trenes de Huế y esperé a mi tren hacia Da Nang.","Quán Café 51
Venus iCafe
Hue Railway Station"
